Wall time,Step,Value
1608313179.2153082,400,16.503101348876953
1608313325.9187691,900,5.3340325355529785
1608313383.5944445,1100,4.7154107093811035
1608313440.5136018,1300,4.275946617126465
1608313647.6230774,2000,2.859412670135498
1608313734.5353642,2300,2.4653573036193848
1608313934.1507218,3000,1.8259713649749756
1608314162.3860679,3800,1.4488282203674316
1608314248.4876072,4100,1.2580076456069946
1608314362.8345215,4500,1.1461118459701538
1608314391.201104,4600,1.1559805870056152
1608314420.0765111,4700,1.1729158163070679
1608314505.4921105,5000,1.0928306579589844
1608314534.3914807,5100,1.122660517692566
1608314905.697927,6400,0.8311077356338501
1608315078.3018186,7000,0.7606058120727539
1608315107.1041367,7100,0.7384422421455383
1608315221.2567775,7500,0.7061576843261719
1608315450.078005,8300,0.6242763996124268
1608315478.6746776,8400,0.6468956470489502
1608315535.8031642,8600,0.5940936803817749
1608315707.5799742,9200,0.5665596723556519
1608315965.9200366,10100,0.5182554721832275
1608315995.796477,10200,0.5320162773132324
1608316025.9125385,10300,0.5367789268493652
1608316259.705276,11100,0.5193372964859009
1608316379.5770316,11500,0.5014947056770325
1608316469.2479568,11800,0.4819008409976959
1608316526.8678427,12000,0.48991480469703674
1608316728.2116807,12700,0.4540139138698578
1608316899.1924012,13300,0.41893452405929565
1608317013.0121996,13700,0.4234820306301117
1608317069.8475854,13900,0.42017850279808044
1608317326.5032237,14800,0.4104194939136505
1608317354.9900568,14900,0.4071345925331116
1608317526.2221675,15500,0.4082939326763153
1608317554.733921,15600,0.4048876464366913
1608318038.93508,17300,0.3723932206630707
1608318153.0720167,17700,0.37333351373672485
1608318295.6646333,18200,0.365360289812088
1608318381.007563,18500,0.37493816018104553
1608318437.9599986,18700,0.3422287404537201
1608318466.398565,18800,0.3421679139137268
1608318523.2855341,19000,0.37260711193084717
1608318807.7403262,20000,0.337287575006485
1608318864.7034144,20200,0.3270704448223114
1608319206.3295414,21400,0.3201390504837036
1608319548.0182567,22600,0.33494940400123596
