Wall time,Step,Value
1607594394.4103377,400,45.813873291015625
1607594552.6516426,900,13.271100044250488
1607594616.1892052,1100,10.334702491760254
1607594679.0345623,1300,7.971433162689209
1607594899.4536638,2000,5.496608257293701
1607594963.399884,2200,5.207404613494873
1607594995.818418,2300,4.91417121887207
1607595217.144737,3000,4.2472710609436035
1607595468.8852515,3800,3.364682674407959
1607595560.9710636,4100,3.03593373298645
1607595622.3007808,4300,2.9231860637664795
1607595685.9404914,4500,2.7525768280029297
1607595718.4196863,4600,2.76973032951355
1607595749.8635674,4700,2.5663697719573975
1607595844.7323809,5000,2.542585849761963
1607595876.7105122,5100,2.4636693000793457
1607596259.2219346,6300,2.043044328689575
1607596292.1734293,6400,1.9157353639602661
1607596325.1968958,6500,1.941810965538025
1607596490.096284,7000,1.7266322374343872
1607596521.7937849,7100,1.7451434135437012
1607596645.0204523,7500,1.6932047605514526
1607596895.877955,8300,1.4491897821426392
1607596928.5710146,8400,1.3710788488388062
1607596960.4246013,8500,1.4357765913009644
1607596992.2501304,8600,1.3662574291229248
1607597188.0388455,9200,1.3220454454421997
1607597477.2079873,10100,1.1583861112594604
1607597509.6650863,10200,1.2078611850738525
1607597542.031622,10300,1.1060292720794678
1607597732.7886627,10900,1.052878975868225
1607597794.6946533,11100,1.0582572221755981
1607597919.1583915,11500,0.9752697944641113
1607598011.4130812,11800,0.9403809905052185
1607598072.570392,12000,0.9329612255096436
1607598225.7262518,12500,0.8915537595748901
1607598287.135404,12700,0.8789270520210266
1607598480.515811,13300,0.8072463870048523
1607598612.9222124,13700,0.7746549844741821
1607598678.9547338,13900,0.763161301612854
1607598908.896013,14600,0.7506133317947388
1607598942.1928298,14700,0.7315828800201416
1607598975.2452471,14800,0.7055606245994568
1607599008.1549807,14900,0.7499744296073914
1607599174.917189,15400,0.7229561805725098
1607599209.253887,15500,0.6825803518295288
1607599243.609716,15600,0.644577145576477
1607599540.508703,16500,0.6452691555023193
1607599697.9030664,17000,0.580280601978302
1607599792.769741,17300,0.5892634391784668
1607599919.3952296,17700,0.5846630334854126
1607600068.6974003,18200,0.5483439564704895
1607600157.9964616,18500,0.5720853209495544
1607600217.7118037,18700,0.5642382502555847
1607600247.6120281,18800,0.5676881670951843
1607600308.099842,19000,0.5497600436210632
1607600544.487531,19800,0.5627543330192566
1607600574.0808694,19900,0.5290791392326355
1607600603.7016952,20000,0.5267373919487
1607600633.446428,20100,0.5093225836753845
1607600663.7227595,20200,0.5121023058891296
1607601036.125082,21400,0.47171565890312195
1607601098.4792721,21600,0.4633084833621979
1607601280.4752765,22200,0.488305002450943
1607601398.8781593,22600,0.5016521215438843
1607601428.4352107,22700,0.4973974823951721
1607601487.5496266,22900,0.4824880063533783
1607601576.5179956,23200,0.4396209716796875
1607601635.523465,23400,0.4320807158946991
1607601813.4127657,24000,0.45720043778419495
1607601960.7845519,24500,0.4333610236644745
1607601990.3256779,24600,0.4498519003391266
1607602136.1536472,25100,0.4398290812969208
1607602251.4567637,25500,0.4304977357387543
1607602338.1330223,25800,0.42192497849464417
1607602395.9840107,26000,0.41744863986968994
1607602453.715525,26200,0.4104788899421692
1607602511.5771103,26400,0.41557973623275757
1607602569.2354116,26600,0.41390490531921387
1607602598.1409225,26700,0.41965287923812866
